2026-01-01 20:06:45.025598 | ceo_user | c_level | i want financial summary
2026-01-03 12:57:50.121773 | mani | marketing | give marketing performance summary
2026-01-03 12:57:57.777939 | mani | marketing | give marketing performance summary
2026-01-03 13:16:17.503140 | mani | marketing | give marketing performance summary
2026-01-03 13:20:09.157271 | mani | marketing | Hello 
2026-01-03 13:34:14.016754 | mani | marketing | give marketing performance summary
2026-01-03 16:53:43.171981 | mani | marketing | hello
2026-01-03 17:07:16.684711 | mani | marketing | give marketing performance summary
2026-01-03 17:08:32.092881 | mani | marketing | give marketing performance summary
2026-01-03 17:26:49.821580 | mani | marketing | what is my role
2026-01-03 17:31:11.718863 | niran | c_level | Give an organization-wide performance summary.
2026-01-03 17:33:02.137671 | niran | c_level | What are the most important highlights from the company’s recent reports?
2026-01-03 17:34:09.397278 | niran | c_level | Summarize key insights across all departments.
2026-01-03 17:46:55.136623 | niran | c_level | Summarize key insights across all departments.
2026-01-03 17:47:33.955312 | niran | c_level | Summarize key insights across all departments.
2026-01-03 17:48:03.695817 | niran | c_level | explain financial performance
2026-01-19 21:11:17.598724 | Nisha | hr | hello boi
2026-01-19 21:13:47.876547 | Nisha | hr | exxplain financial report
2026-01-19 21:38:17.456053 | Nisha | hr | hello how are you?
2026-01-19 21:38:34.771755 | Nisha | hr | what is my role name
2026-01-19 22:40:02.375233 | Nisha | hr | hello
2026-01-19 22:40:17.088937 | Nisha | hr | what is my role name
2026-01-19 23:51:13.819595 | Nisha | hr | hi
2026-01-19 23:57:10.408524 | Nisha | hr | hello
2026-01-20 08:12:11.141848 | Nisha | hr | hi
2026-01-20 08:13:03.403965 | Nisha | hr | what is my role name?
2026-01-20 08:19:39.409657 | Nisha | hr | hello
2026-01-20 08:19:57.718832 | Nisha | hr | i want finance report
2026-01-20 08:20:30.881150 | Nisha | hr | give finance report summaary
2026-01-20 18:20:13.601022 | Nisha | hr | leave policy of employee
2026-01-20 18:54:03.963875 | Nisha | hr | What is the leave policy for new employees?
2026-01-20 18:55:43.603546 | Nisha | hr | give financial report
2026-01-20 18:56:37.896500 | Nisha | hr | heelloo
2026-01-20 18:57:30.982734 | Nisha | hr | Give a detailed explanation of all HR policies related to leave, attendance, and probation period
2026-01-20 19:15:18.063033 | ritsan | c_level | hello
2026-01-20 19:15:29.322726 | ritsan | c_level | i want ur help
2026-01-20 19:15:54.261934 | ritsan | c_level | what type of questions i can ask with you?
2026-01-20 19:17:09.409051 | Nisha | hr | heello
2026-01-23 06:30:27.757780 | Nisha | hr | i want financial summary
2026-01-23 08:15:36.385617 | Nisha | hr | hello
2026-01-24 20:13:17.643996 | manikandan | marketing | hello 
2026-01-24 20:28:41.950958 | manikandan | marketing | hello
2026-01-24 20:29:05.811494 | manikandan | marketing | summarize marketing results for last quarter
2026-01-24 20:30:56.402245 | manikandan | marketing | what is our office dress color policy
2026-01-24 20:40:07.676661 | manikandan | marketing | briefly explain marketing growth
2026-01-24 20:41:10.154790 | manikandan | marketing | thanks buddy
2026-01-24 20:44:51.553708 | babu | finance | give finance summary
